transaction_id,customer_id,source_system,metric_name,metric_value,transaction_date,record_status
T000001,C9937,Billing,Tickets,5.0,2025-07-22,valid
T000002,C3090,App,Orders,10.0,2025-03-10,valid
T000003,C3377,App,Orders,7.0,2025-03-17,valid
T000004,C7376,App,Revenue,6431.19,2025-06-01,valid
T000005,C7433,App,Orders,,2025-03-17,missing
T000006,C5629,Billing,Orders,5.0,2025-07-07,valid
T000007,C8159,Billing,Tickets,2.0,2025-04-09,valid
T000008,C3858,CRM,Tickets,1.0,2025-12-10,valid
T000009,C2815,CRM,Orders,6.0,2025-02-23,valid
T000010,C5465,App,Orders,6.0,2025-05-13,valid
T000011,C3672,App,Tickets,2.0,2026-01-03,valid
T000012,C2993,App,Revenue,8807.26,2025-11-17,valid
T000013,C5829,CRM,Revenue,19602.02,2025-12-12,valid
T000014,C2974,CRM,Revenue,8511.1,2026-01-04,valid
T000015,C4932,Billing,Revenue,12527.34,2026-01-05,valid
T000016,C5296,Billing,Tickets,4.0,2025-10-19,valid
T000017,C6158,Billing,Orders,7.0,2025-06-22,valid
T000018,C1865,Billing,Orders,7.0,2025-10-23,valid
T000019,C1950,Billing,Revenue,18470.39,2025-09-07,valid
T000020,C9658,App,Tickets,5.0,2025-07-28,valid
T000021,C1916,Billing,Tickets,5.0,2025-08-05,valid
T000022,C8624,CRM,Revenue,3476.46,2025-10-30,valid
T000023,C9851,CRM,Orders,4.0,2026-01-26,valid
T000024,C3852,CRM,Revenue,3744.35,2025-12-20,valid
T000025,C2204,CRM,Orders,2.0,2025-09-16,valid
T000026,C7173,Billing,Revenue,10884.4,2026-01-22,valid
T000027,C7004,CRM,Tickets,4.0,2026-01-11,valid
T000028,C6658,CRM,Orders,3.0,2025-09-26,valid
T000029,C2366,App,Tickets,5.0,2025-11-07,valid
T000030,C2750,CRM,Tickets,5.0,2025-08-25,valid
T000031,C4477,App,Revenue,3442.08,2026-01-19,valid
T000032,C3703,App,Revenue,18496.94,2025-09-21,valid
T000033,C8729,CRM,Orders,10.0,2025-08-28,valid
T000034,C3708,App,Revenue,12548.38,2025-09-29,valid
T000035,C8154,CRM,Tickets,2.0,2025-08-22,valid
T000036,C5286,App,Revenue,9262.65,2025-11-22,valid
T000037,C9334,App,Tickets,5.0,2025-06-27,valid
T000038,C7218,App,Revenue,6328.88,2025-07-04,valid
T000039,C3945,App,Tickets,5.0,2025-11-10,valid
T000040,C3226,CRM,Tickets,5.0,2026-01-02,valid
T000041,C9205,Billing,Revenue,7992.53,2025-04-23,valid
T000042,C7325,CRM,Orders,8.0,2025-05-10,duplicate
T000043,C4877,Billing,Revenue,16260.4,2025-02-10,valid
T000044,C1892,Billing,Tickets,1.0,2025-11-24,valid
T000045,C4206,CRM,Tickets,2.0,2025-10-27,valid
T000046,C4888,CRM,Tickets,2.0,2025-11-16,valid
T000047,C1901,App,Tickets,5.0,2025-06-11,valid
T000048,C3917,Billing,Revenue,1083.09,2025-06-11,valid
T000049,C9271,App,Orders,1.0,2025-04-22,valid
T000050,C6443,App,Tickets,1.0,2025-11-02,valid
T000051,C9654,CRM,Revenue,11517.07,2025-07-16,valid
T000052,C2187,App,Revenue,10570.14,2026-01-12,valid
T000053,C7844,App,Orders,5.0,2025-07-23,valid
T000054,C9885,Billing,Tickets,1.0,2025-03-16,valid
T000055,C3308,Billing,Revenue,16788.48,2025-10-17,valid
T000056,C5703,App,Orders,7.0,2025-03-25,duplicate
T000057,C3176,Billing,Tickets,4.0,2025-03-07,valid
T000058,C3891,CRM,Orders,3.0,2026-01-31,valid
T000059,C8563,CRM,Tickets,,2025-06-29,missing
T000060,C8243,CRM,Tickets,2.0,2025-09-24,valid
T000061,C7645,App,Orders,3.0,2025-08-05,valid
T000062,C2449,CRM,Orders,1.0,2025-04-24,valid
T000063,C2702,App,Orders,7.0,2025-11-13,valid
T000064,C6580,Billing,Orders,10.0,2025-04-26,valid
T000065,C9847,CRM,Tickets,1.0,2025-10-30,valid
T000066,C7940,Billing,Tickets,5.0,2025-05-17,valid
T000067,C8310,Billing,Revenue,5125.24,2025-10-08,valid
T000068,C7959,Billing,Revenue,13769.39,2025-11-17,valid
T000069,C5581,Billing,Orders,9.0,2025-05-01,valid
T000070,C6362,CRM,Tickets,3.0,2025-11-07,valid
T000071,C2228,Billing,Revenue,13547.35,2025-05-31,valid
T000072,C5327,Billing,Tickets,1.0,2025-12-02,valid
T000073,C9667,Billing,Revenue,12484.32,2025-08-30,valid
T000074,C7568,App,Orders,9.0,2025-09-19,valid
T000075,C3580,App,Tickets,5.0,2025-06-20,valid
T000076,C4273,Billing,Revenue,15394.02,2025-02-25,valid
T000077,C4647,CRM,Orders,8.0,2025-04-23,valid
T000078,C6975,App,Tickets,5.0,2025-03-29,valid
T000079,C2772,Billing,Revenue,10583.18,2025-07-28,valid
T000080,C7752,CRM,Revenue,17813.76,2025-04-13,valid
T000081,C3666,CRM,Orders,4.0,2025-12-26,valid
T000082,C5539,Billing,Tickets,3.0,2025-12-19,valid
T000083,C1456,Billing,Orders,3.0,2025-06-10,valid
T000084,C9290,CRM,Orders,1.0,2025-02-20,valid
T000085,C3932,Billing,Tickets,1.0,2025-05-08,valid
T000086,C3692,Billing,Orders,6.0,2025-07-30,valid
T000087,C4355,CRM,Orders,,2026-01-12,missing
T000088,C3492,CRM,Revenue,17097.59,2025-03-21,valid
T000089,C9844,CRM,Tickets,3.0,2025-05-16,valid
T000090,C5682,CRM,Orders,10.0,2025-09-15,valid
T000091,C2254,App,Orders,7.0,2025-08-28,valid
T000092,C1016,CRM,Tickets,1.0,2025-12-01,valid
T000093,C5166,App,Tickets,4.0,2025-04-15,valid
